夏ノ朝,natsunoasa,昨日からモヤモヤ\nケンカ本当はしたくなかったね\nさよならも言えずに分かれた君と私\n\n心にもない言葉ばかり言ってごめんね\n私の隣には君が必要なんだ\n\n君の元まで走る 夏ノ朝\n重かった足取りは君に近付いて軽くなった\n君の元まで走るよどこへでも\n優しい君の手に触れるまで\n\nふたりの思い出の場所はあとひとつだけ\n君と初めて出逢った歩道橋の上\n\n階段登ると君も向かい側にいて\n目が合うと ふたり 駆け出したんだ\n\n君の胸に飛び込む夏ノ朝\n｢ごめん｣って君は私を強く抱きしめた\n夏の日差しと君のぬくもりで\n心の空は晴れていったんだ\n\n君とふたり走った夏ノ朝\n君とふたり歩むよどこまでも\nはぐれないように手を繋いで\n
ラブソング,rabusongu,追いかけても 足跡すら見つからない 曇り空\nいつのまにか 追いついていた背中も 見えない\n\n君と歩いた道を歌にしてみたり\n君が私の歌を歌っていたり\nたくさんの思い出があたしの歌に詰まっているの\n\n君を歌ったラブソング数えられないよ\nまた君を想って歌いたいよ\nねえ聴いてよ聴いてよ私の歌を\n笑顔とともに溢れた歌たちを\n\n君の笑顔に似てる花に出会ったり\n君と名前をつけた星を見上げたり\nたくさんの思い出をあたしの歌に詰め込んだんだ\n\n君を歌ったラブソング数えられないよ\nまた君を想って歌いたいよ\nねえ聴いてよ聴いてよ私の歌を\n涙とともに流れた歌たちを\n\n君のとなりで笑って泣いて\n君とふたりでたくさんのストーリー築いて\nわたしの隣で笑っていてよ\nわたしの隣で泣いていてよ\n\n君を歌ったラブソング数えられないよ\nまた君を想って歌いたいよ\nねえ聴いてよ聴いてよ私の歌を\n笑顔とともに溢れた歌たちを\n涙とともに流れた歌たちを\n
ONE,one,
SeasoN,season,
アメイロ,ameiro,路地裏 冷たい匂いが ひとりを感じさせる\nふたりで過ごした街並みが “忘れること” を許さない\n\n肩を抱いて 指絡めて 甘い言葉囁くの\n\n冷たい雨と哀しい声 ひとりで泣いてたベッドの上\n都合の良いときの女あたし あなたの飾りにすぎなかった\n愛してた。\n\n路地裏 冷たい足音 ひとりで涙流す\nふたりの過去を物語るネオンの街がまぶしいよ\n\n肩と声震わせてる私の頬つたう雫\n\n冷たい雨と哀しい声 ひとりで泣いてた午前3時\nあなたのこと忘れられたとしても いつまでもそばにいたかったよ\n\n冷たい雨と哀しい声 ひとりで泣いてたベッドの上\nあなたのこといつかわすれたとしても いつまでもそばに…\n都合の良いときの女あたし あなたの飾りにすぎなかった\n愛してた。
Dear my star,dearmystar,昨日見ていた夢の続きを見たくてはやく家に帰るの\n陽の沈む頃 街の灯りはきらめいて、眩しくて。\n\nシナリオ通り生きていける人がいるなら悲しい声は消えるだろう\n描いた地図が正解かはどうでもいいよ\n間違いなら書き直すから\n\n答えのないこの世界で生きることは難しいよ\n明日がまた私を待つなら\n夜空に浮かんだ星で描く道標よ 導いてよ\n\nいつか見ていた夢の続きはまだ見れなくて、見えなくて。\n陽はまた沈み、いつもの街\n明日も同じ景色を見るの？\n\n風のように 真っ直ぐ走り続けられる人でありたい と願っても\n変わらぬ日々に いつもと同じ と笑われて、諦めそうになってしまうの。\n\n答えのないこの世界で生きることは難しいよ\n明日がまた私を待つから\n夜空に流れた星で繋ぐ道標についていきたいよ\n\nシナリオ通り生きていける人がいるなら悲しい声は消えるだろう\n描いた地図が正解かはどうでもいいよ\n間違いなら書き直すから\n\n答えのないこの世界で生きることは難しいよ\nそれでも明日がまた私を待つなら\n夜空に浮かんだ星で描く道標よ 導いてよ\n夜空に流れた星で繋ぐ道標についていくよ
RAIL,rail,レールにはめ込まれた道をただ走っていたんだ\n用意された道はすぐに消えて\nこの世界で生きる術を教えられず放り出されてしまったうるさい世界に\n\n右も南も左も北も分からないけど何かしなくちゃ\n立ち止まるのが1番いやだから\n\n途切れた一本道に自分色のレールをひいて\n見えない明日を生きるために走るよ\n光よ\n未来の私はなにしてますか\n光よ\n\nレールにはめ込まれた道はもう走っていない\n迷いながら前だけ見ている\n\n右も南も左も北もまだ分からないでもこれからも\nうるさい世界で生きていくために\n\n途切れた一本道に自分色のレールをひいて\n見えない明日を生きるために走るよ\n光よ\nいつまでこのまま生きていくのでしょう\n\n未来の私はなにしてますか\nいつまでこのまま生きていくのでしょう\n\n途切れた一本道に自分色のレールをひいて\n見えない明日を生きるために走るよ\n光よ\n未来の私はなにしてますか\n光よ、教えて\n
春風,harukaze,今わたし誰もいない部屋でひとり\nまだあなたがいないことを受けいれられない\n\n春の風がそっと吹き込みあなたの匂い思い出す\nもう戻らない時間と思い出とともに\n\nこの風に私の想い乗せてよ あたたかい春の風に\n綺麗な思い出とともに歌うよ あなたに届くよう\n\n今わたし誰もいない部屋でひとり\nもうあなたがいないことで胸が苦しい\n\n春の風があなたのぬくもりとよく似ているんだ\nあぁ思い出す 幸せだったあの日々を\n\nこの風に私の想い乗せてよ あたたかい春の風に\n綺麗な思い出とともに寂しさを あなたに届くように\n\nこの風にあなたの想い乗せてよ あたたかい春の風に\n綺麗な花びらとともにぬくもりを 寂しくならないように\n
Cry,cry,
水平線,suiheisen,
himawari,himawari,言葉じゃ伝えきれないほどに愛が溢れてくるの\n手のひら合わせて歩く道 全部特別なもの\n\nドキドキするよりふざけてばかり でもそんなキミが好き\n\nひまわりによく似ているキミの笑顔をとなりで見つめていたいの\nキミの体温感じると膨らむ あたしのきもち\n膨らむ あたしの気持ち\n\n口下手なキミがたまに言う 好きだよ って囁き言葉\n\nその時気付くの 出会った頃よりキミに夢中なこと\n\nひまわりによく似ているキミの笑顔のとなりで寄り添っていたい\n太陽よりも熱い想いでキミを溶かしちゃうよ\n\nひまわりによく似ているキミの笑顔をとなりで見つめていたいの\nキミの体温感じると 膨らむ あたしの気持ち
いかないで,ikanaide,
